title,summary,tags
THE RESEARCH COMPONENT IN THE PROFESSIONAL EDUCATION OF HISTORY MAJORSИсследовательский компонент в профессиональной подготовке студентов-историков,"The article is devoted to the topic of ""traces of the past"" interpretation; its relevance is due to both the need to improve the training of history majors and the aggravation of the fight against falsifications of history (primarily domestic). The aim of the research is to analyze the correlation of humanitarian, social and technological components in the methodology of teaching historical disciplines. The comparative method was chosen as a key method. The work uses the method of hypotheses, content analysis of the source base, and experience in studying University teaching practice. Identifying the prerequisites for ""incorrect"" interpretation of historical events, the author compares legal, forensic and philosophical approaches. The theoretical significance of the article lies in the novelty of an interdisciplinary, integrated technosocial humanitarian outlook on historical research. According to the author, the best way to overcome bias is adherence to principles; a person must inspire and justify trust: this requirement is true for both a forensic expert and a scientist. The main thing is to avoid simplifications, geometric sketching of the past, reducing it to parallels and piles of additional constructions, politicized speculations. No less great is the temptation to fall into exegesis, and from the interpreter of texts to become the owner of stylization and meta-history. The task of the researcher is to reveal the specifics of the typical. It is extremely difficult to find the ""median nerve"" of an era, but this is the only way to ""qualify the subjective side of an act"" from a historiosophical perspective. The sensation and awareness of belonging to humanity obliges the scientist to think in integral, complex, figurative, and not abstract categories. Intersubjectivity itself (even intrasubjectivity) characterizes history as a humanitarian science, and not as narrowly social one (akin to jurisprudence or sociology, especially in their positivistic interpretations). The practical significance of the study lies in the fact that the material of the article can be used in the pedagogical process, and a comparison of fundamental and applied disciplines will help history majors to sort out professional and worldview issues, and teach them to distinguish between the eternal and the vain-trendy, the ideological and the tendentious. History, the author believes, is about the eternally alive, and not about the outdated things.Статья посвящена теме “следов прошлого”; актуальность её обусловлена как необходимостью совершенствования подготовки студентов-историков, так и обострением борьбы с фальсификациями истории (в первую очередь – отечественной). Целью исследования является анализ соотношения гуманитарного, социального и технологического компонентов в методике преподавания исторических дисциплин. Ключевым методом избран компаративный; в работе используется метод гипотез, контент-анализ источниковой базы, а также опыт изучения вузовской педагогической практики. Выявляя предпосылки “неверного” изложения былых событий, автор сопоставляет юридический, экспертно-криминалистический, естественнонаучный и философский подходы. Теоретическая значимость статьи состоит в новизне междисциплинарного, комплексного техно-социо-гуманитарного взгляда на исторические изыскания. По мнению автора, главное – избегать упрощений, геометрической схематизации прошлого, сведения его к параллелям и нагромождениям дополнительных построений, политизированных спекуляций. Не менее велик соблазн впасть в экзегезу, а из толкователя текстов сделаться собственником стилизации, мета-истории. Задача исследователя состоит в установлении конкретики типичного. Ощущение и осознание принадлежности человечеству обязывает учёного мыслить категориями целостными, комплексными, образными, а вовсе не отвлечёнными. Сама интерсубъективность (даже интра-субъективность) характеризует историю как науку гуманитарную, а не узко-социальную (сродни правоведению или социологии, особенно в их позитивистской трактовке). Практическое значение исследования заключается в том, что материал статьи может быть использован в педагогическом процессе, а сравнение фундаментальных и прикладных дисциплин поможет студентам-историкам сориентироваться в вопросах профессиональных и мировоззренческих, научит отграничивать непреходящее от суетно-трендового, идеологическое – от тенденциозного. История, полагает автор — о вечно живом, а не про отжившее.",['shs']
Aesthetics of History: the example of RussiaЭСТЕТИКА ИСТОРИИ: ПРИМЕР РОССИИ,"The article highlights the problem of studying historical time in terms of aesthetics and social ethics. The essence of history, according to the author, is not so much in retrospection or reflection, but in the gap between feeling and awareness. Guided by the apophatic method, the author analyzes the historiosophical views of domestic and foreign scholars and comes to the conclusion that the Soviet paradigm is true, where the only vector of human development is the liberation of labor in the name of creating a bright future for the sake of all people and for everyone.В статье обозначена проблема исследования исторического времени в ракурсе эстетики и социальной этики. Суть истории, по мнению автора, не столько в ретроспекции или рефлексии, сколько в разрыве между чувством и осознанием. Руководствуясь апофатическим методом, автор анализирует историософские взгляды отечественных и зарубежных мыслителей и приходит к выводу об истинности советской парадигмы, где единый вектор человеческого развития — освобождение труда во имя сотворения светлого будущего ради всех и для каждого.",['shs']
Statistical Analysis of the Mariana Trench Geomorphology Using R Programming Language,"This paper introduces an application of R programming language for geostatistical data processing with a case study of the Mariana Trench, Pacific Ocean. The formation of the Mariana Trench, the deepest among all hadal oceanic depth trenches, is caused by complex and diverse geomorphic factors affecting its development. Mariana Trench crosses four tectonic plates: Mariana, Caroline, Pacific and Philippine. The impact of the geographic location and geological fac- tors on its geomorphology has been studied by methods of statistical analysis and data visualization using R libraries. The methodology includes following steps. Firstly, vector thematic data were processed in QGIS: tectonics, bathymetry, geo- morphology and geology. Secondly, 25 cross-section profiles were drawn across the trench. The length of each profile is 1000-km. The attribute information has been derived from each profile and stored in a table containing coordinates, depths and thematic information. Finally, this table was processed by methods of the statistical analysis on R. The programming codes and graphical results are presented. The results include geospatial comparative analysis and estimated effects of the data distribution by tectonic plates: slope angle, igneous volcanic areas and depths. The innovativeness of this paper consists in a cross-disciplinary approach combining GIS, statistical analysis and R programming.","['info', 'math']"
Regression Models by Gretl and R Statistical Packages for Data Analysis in Marine Geology,"Gretl and R statistical libraries enables to perform data analysis using various algorithms, modules and functions. The case study of this research consists in geospatial analysis of the Mariana Trench, a hadal trench located in the Pacific Ocean. Technically, data modelling was performed using multi-functional combined approach of both Gretl and R libraries. The study aim is modelling and visualizing trends in the variations of the trench's properties: bathymetry (depths), geomorphology (steepness gradient), geology, volcanism (igneous rocks). The workflow included following statistical methods computed and visualized by Gretl and R libraries: 1) descriptive statistics; 2) box plots, normality analysis by quantile-quantile (QQ) plots; 3) local weighted polynomial regression model (loess), 4) linear regression by several methods: weighted least squares (WLS) regression, ordinary least squares (OLS) regression, maximal likelihood linear regression and heteroskedasticity regression model; 5) confidence ellipses and marginal intervals for data distribution; 6) robust estimation by Nadaraya-Watson kernel regression fit; 7) correlation analysis and matrix. The results include following conclusions. First, the slope angle gradient has a correlation with the geological settings of the trench and distribution of volcanic igneous rocks. Second, the sediment thickness varies by the tectonic plates showing unequal distribution in space. Third, there is a correlation between the slope gradient and aspect degree. Forth, geospatial analysis of the bathymetry shows that the deepest part of the trench is located in the southwest .","['info', 'phys']"
An Empirical Study of R Applications for Data Analysis in Marine Geology,"The study focuses on the application of R programming language towards marine geological research with a case study of Mariana Trench. Due to its logical and straightforward syntax, multi-functional standard libraries, R is especially attractive to the geologists for the scientific computing. Using R libraries, the unevenness of various factors affecting Mariana Trench geomorphic structure has been studied. These include sediment thickness, slope steepness, angle aspect, depth at the basement and magmatism of the nearby areas. Methods includes using following R libraries: {ggplot2} for regression analysis, Kernel density curves, compositional charts; {ggalt} for Dumbbell charts for data comparison by tectonic plates, ranking dot plots for correlation analysis; {vcd} for mosaic plots, silhouette plots for compositional similarities among the bathymetric profiles, association plots; {car} for ANOVA. Bathymetric GIS data processing was done in QGIS and LaTeX. The innovativeness of the work consists in the multidisciplinary approach combining GIS analysis and statistical methods of R which contributes towards studies of ocean trenches, aimed at geospatial analysis of big data.","['info', 'phys']"
When war disrupts gender,"Europe has experienced three wars on a continental scale since the French Revolution, along with numerous other conflicts. Far from being immutable, the role of women and men in war has changed. Initially a national masculinity was constructed, one that was virile and warlike, and that excluded women from combat. Women were all the same mobilized by their countries to support “their” men, take part in the war effort, and give birth to and raise the combatants of future generations. Like all civilians, they became military targets, and as women they were also the target of sexual violence. Women also came close to combat, integrated military or auxiliary formations, and engaged in movements of struggle and resistance. The military-virile model was weakened by colonial wars, the increasing sophistication of weaponry, and the absence of conflicts on the soil of most European countries. Military service was eliminated by most European countries at the same time as the professionalization and feminization of the military grew.",['shs']
The replacement of a carbonate rock by fluorite: kinetics and microstructure,"Understanding the mechanism and kinetics of the replacement of carbonates by fluorite has application in Earth sciences and engineering. Samples of Carrara marble were reacted with an ammonium fluoride (NH4F) solution for different reaction times and temperatures. The microstructure of the product phase (fluorite) was analyzed using SEM. The kinetics of replacement was monitored using Rietveld analysis of X-ray powder diffraction patterns of the products. After reaction, all samples preserved their size and external morphology (a pseudomorphic replacement). The grain boundaries of the original marble were preserved although each calcite grain was replaced by multiple fine crystals of fluorite creating inter-crystal porosity. The empirical activation energy Ea (kJ/mol) of the replacement reaction was determined by both model-fitting and model-free methods. The isoconversional method yielded an empirical activation energy of 41 kJ/mol, and a statistical approach applied to the model-fitting method revealed that the replacement of Carrara marble by fluorite is better fitted to a diffusion-controlled process. These results suggest that the replacement reaction is dependent on the ion diffusion rate in the fluid phase through the newly formed porosity.","['chim', 'phys']"
Regional disparities in western european agriculture,"In order to explain differences in agricultural economic performance of 73 regions of the EC, a regression analysis is presented. The dependent variable is the gross value added per labour unit. The explanatory varibles are classified into two different sets: agricultural and non-agricultural. The former give a description of agriculture (crop mix, livestock and horsepower) whereas the latter is related to the general economic development (gross regional product, share of agriculture in active population, population density and importance of part-time farming). The results for 1975 are reported, and comparison with 1970 is also made.",['shs']
Development of a Granular Cohesive Model for Rolling Contact Fatigue Analysis: Crystal Anisotropy Modeling,"In rolling contact fatigue (RCF), failure mechanisms are known to be very sensitive to material microstructure. Yet, among the different numerical models developed to predict the RCF life, few models use a microstructure representation. A granular cohesive finite element model has been developed to simulate progressive damage of a structure subject to RCF and to investigate failure initiation mechanisms. This paper focuses on the implementation of crystal elasticity in the model. The numerical analysis of a representative volume element (RVE) validates the use of cubic elasticity to represent crystal behavior. The influence of the RVE size and the influence of boundary conditions applied on the RVE are evaluated in the finite element approximation framework. As regards the implementation of cubic elasticity in the RCF model, the generation of stress singularities at triple junctions is first highlighted. Then the average value of the intergranular shear stress is proved to be mesh size independent and therefore can be used as damage criterion. Finally, the influence of crystal elasticity on micro-cracks distribution is presented.",['spi']
A lower but more balanced protection for European agriculture,"The main cause of the EC Budget shortage arises from the growth in the exportposition of agricultural products from the EC while, at the same time, prices arekept well above the world market level. Pressure on the Budget is the main forcecalling for CAP reform. This can be viewed either as a chance or a threat.- A chance, because it is well known that policies which generate invisibletransfers are unlikely to be reviewed and scrutinized by policy-makers andsocial forces. Policies demanding funds from the treasury do not have such acomfortable life, they have to be justifiable to public opinion.- A threat, because a budgetary approach to CAP problems is unlikely to bringabout prospects for a comprehensive, consistent set of principles or ruleswhich would have a sound economic basis and lead to long-term economic efficiency.",['shs']
On the rapid manufacturing process of functional 3D printed sand molds,"3D printing sand mold technology offers an opportunity for the foundry industry to rethink old casting approaches and to revive the manufacturing approach using computer models. One of the major concerns in sand molding using 3D printing is the functional characterization of the 3D printed molds as its mechanical and mass transport properties. This research paper discusses the effects of binder content on the mechanical strength and the permeability of 3DP sand molds at different curing conditions. The local permeability of the 3DP specimen was measured as a function of the injection flow rate in order to quantify the inertial pressure effects. The mechanical strength of the 3DP sand molds was characterized using traditional three-point bending strength measurements. The results show that the mechanical strength of the printed molds is deeply dependent on the amount of binder and the curing process. The 3PB strength was found to increase when cured at 100 °C and decrease when cured at 200 °C for all binder contents. The 3PB strength attains its maximum when cured at 100 °C for 2 h for all binder content. In contrast, no significant effect of the amount of binder on the initial permeability of the samples before curing was observed within the functional range of binder mass fraction (1.02–1.98 %). Maximum permeability is attained at the same conditions as the 3PB strength. Therefore, the mechanical strength of the sample can be optimized within the investigated range of binder contents without resulting in any significant decrease in permeability.",['spi']
"Evaluation of Physical, Thermal and Spectroscopic Properties of Biofield Treated p-Hydroxyacetophenone","P-Hydroxyacetophenone (pHAP) is an aromatic ketone derivative that is mainly used in the manufacturing of various pharmaceuticals, flavours, fragrances, etc. In the present study, the impact of Mr. Trivedi’s biofield energy treatment was analysed on various properties of pHAP viz. crystallite size, surface area, melting temperature, thermal decomposition, and spectral properties. The pHAP sample was divided into two parts; one was kept as control sample while another part was named as treated sample. The treated sample was given the biofield energy treatment and various parameters were analysed as compared to the control sample by X-ray diffraction (XRD), surface area analyser, thermogravimetric analysis (TGA), differential scanning calorimetry (DSC), ultraviolet-visible (UV-VIS), and Fourier transform infrared (FT-IR) spectroscopy. The XRD studies showed the decrease in crystallite size of the treated sample (61.25 nm) as compared to the control (84.18 nm); however the intensity of peaks in diffractogram was increased in treated sample. Besides, the surface area of treated sample was decreased by 41.17% as compared to the control. The TGA analysis revealed that onset temperature as well as Tmax (maximum thermal decomposition temperature) was increased in the treated sample. However, the latent heat of fusion (ΔH) was decreased from 124.56 J/g (control) to 103.24 J/g in the treated sample. The treated and control samples were also evaluated by UV-Vis and FT-IR spectroscopy and did not show any significant alteration in spectra of treated sample as compared to the respective control. Hence, the overall results suggest that there was an impact of biofield energy treatment on the physical and thermal properties of pHAP sample.",['chim']
Fourier Transform Infrared and Ultraviolet-Visible Spectroscopic Characterization of Biofield Treated Salicylic Acid and Sparfloxacin,"Salicylic acid is a naturally occurring derivative of benzoic acid, and widely used in organic synthesis and as a plant hormone. Sparfloxacin is fluorinated quinolone antibiotic having broad spectrum antimicrobial property. The present study was aimed to evaluate the impact of biofield treatment on spectral properties of salicylic acid and sparfloxacin using FT-IR and UV-Vis spectroscopic techniques. The study was carried out in two groups, one was set to control, and another was subjected to biofield treatment. FT-IR spectrum of treated salicylic acid showed the upstream shifting in wavenumber of C-H stretching from 2999 to 3004 cm-1 and 2831 to 2837 cm-1 and C=O asymmetric stretching vibration from 1670 to 1683 cm-1 and 1652 to 1662 cm-1. The peak intensity in treated salicylic acid at 1558 cm-1 (aromatic C=C stretching) and 1501 cm-1 (C-C stretching) was increased as compared to control. FT-IR spectrum of treated sparfloxacin showed a downstream shifting in wavenumber of C-H stretching from 2961 to 2955 cm-1 and 2848 to 2818 cm-1, and upstream shifting in wavenumber of C=O (pyridone) stretching from 1641 to 1648 cm-1. Besides, increased intensity of peaks in treated sparfloxacin was found at 1628 cm-1 [C=C stretching (pyridone)] and 1507 cm-1 (N-H bending) as compared to control. UV spectrum of biofield treated salicylic acid exhibited a shifting of wavelength (λmax) from 295.8 to 302.4 nm and 231.2 to 234.4 nm, with respect to control. Likewise, biofield treated sparfloxacin showed the shifting in UV wavelength (λmax) from 373.8 to 380.6 nm and 224.2 to 209.2 nm. Over all, the results suggest that alteration in wavenumber of IR peaks in treated samples might be occurred due to biofield induced alteration in force constant and dipole moment of some bonds. The changes in UV wavelength (λmax) of treated sample also support the FT-IR results. Due to alteration in force constant and bond strength, the chemical stability of structure of treated drugs might also be increased, which could be beneficial for self-life of biofield treated drugs.",['sdv']
Physical and Structural Characterization of Biofield Treated Imidazole Derivatives,"Imidazole derivatives have attracted significant interests in recent time for their usefulness in synthetic heterocyclic chemistry, analytical chemistry and pharmacology. Aim of present study was to evaluate the impact of biofield treatment on two imidazole derivatives (i.e., imidazole and 2-methylimidazole) by various analytical methods. The biofield treatment was done by Mr. Trivedi on both the compounds and both control and treated samples of imidazole and 2-methylimidazole were characterized with respect to physical, and structural properties using X-ray diffraction (XRD), differential scanning calorimetry (DSC), thermogravimetric analysis (TGA), Fourier transform infrared (FT-IR), ultraviolet-visible (UV-Vis) spectroscopy, and Gas chromatography-Mass spectrometry (GC-MS). X-ray diffraction study revealed that crystallite size varied in a different way for imidazole and 2-methylimidazole due to the presence of methyl group in 2-c position although their core was same. Treated sample of imidazole showed a slight increase in crystallite size (6.5%); however, treated 2-methylimidazole showed a significant increase (166.68%) in crystallite size along with decrease in peak intensity as compared to control. The latent heat of fusion (ΔH) of imidazole was increased up to 0.62% in treated sample as compared to control; whereas in treated 2-methylimidazole, the ΔH was decreased by 22% as compared to control. Maximum degradation temperature (Tmax) from TGA of imidazole was remained same but 2-methylimidazole was increased by 1.5% as compared to control. FT-IR spectra showed slight change in stretching frequencies of treated imidazole and 2-methylimidazole as compared to control. Both the imidazole and 2-methylimidazole showed similar UV absorbance maxima as compared to respective control sample. GC-MS data revealed that isotopic abundance ratio of either 13C/12C or 15N/14N or 2H/1H (PM+1/PM) of treated imidazole was significantly increased up to 232.51% as compared to control, however, isotopic abundance ratio of 13C/12C or 15N/14N or 2H/1H (PM+1/PM) of treated 2-methylimidazole showed a minor change from -1.68 upto 1.68% as compared to control. Overall, the experimental results suggest that biofield treatment has significant effect on structural and thermal properties of imidazole and 2-methylimidazole.",['sdv']
Latin American leaders on Twitter. Old uses for new media during political crisesLíderes latinoamericanos en Twitter. Viejas costumbres para nuevos medios en tiempos de crisis políticas,"Introduction. Twitter has evolved into an important medium for political communication. However, research on Twitter has focused almost exclusively on its use in electoral campaigns. Objectives. This article analyses the use that the main Latin American political leaders make of Twitter as a communication channel. Method. Content analysis was applied to 688 tweets posted by ten political leaders in two different time periods, one of them characterised by the attention paid by the media to a political scandal. The content analysis focused on identifying the different types of messages posted and the direction of their discourse. Results and conclusions. Based on this analysis, we concluded that there is still no common strategy to use Twitter in times of crisis among the Latin American political leaders in the government and the opposition.Introducción. Twitter representa un canal cada vez más importante para la comunicación política, aunque los estudios sobre su uso se han centrado casi exclusivamente en su empleo dentro de un marco cronológico marcado por las campañas electorales. Objetivos. Este artículo aborda el uso de esta herramienta como vehículo para la comunicación por parte de los principales políticos hispanoamericanos. Metodología. Se aplica un análisis de contenido a 688 mensajes publicados por diez políticos durante dos periodos de tiempo diferenciados, uno de ellos marcado por la atención mediática prestada a un escándalo político. Se aplican criterios de tipo de mensaje y direccionalidad del discurso. Resultados y conclusiones. Se concluye que no existe todavía una estrategia común de uso de Twitter en momentos de crisis por parte de los distintos líderes políticos latinoamericanos en el Gobierno y la oposición.",['shs']
"STS and Media Studies, Alternative Paths in Different Countries","This conversation presents three perspectives on the trajectoriesof interaction between Science & technology studies and Media studies inthree different national contexts: Germany, France and Italy. Each of thecontributions focuses on a specific country and adopts a distinctive stand-point to unfold howSTSand media studies have interacted or have main-tained boundaries and differences between them. The first contributionabout Germany moves from the outcomes of two workshops on these topics and highlights howSTSand Media studies seem to tap into each other ina highly selective manner, filling some of their conceptual and empirical gaps,but not engaging in an actual mutual discussion. The second text assumes as fulcrum the concepts of“mediation” and “dispositif”in order to argue that,in France, theseideashas played the role of a “boundary objects” enabling adialogue between the two different fields. Finally, the third and last input tothis conversation reconstructs some of the trajectories that led specificgroups or individuals working in communication studies in Italy to connectwithSTSframeworks, arguing that the concept of “mediation” emerges as aproductive common ground for both communication andSTSscholars.",['shs']
Does biotechnological innovation require organizational innovation?,"Genomic innovation can give rise to many uncertainties.New uncertainties induced by genomic innovation change the room to maneuver and upset actor’s behaviors, disrupting individual and collective strategies. A French case study shows that the new operational and organizational strategies have to upscale and pool some resources, and at the same time, enable competition and entrepreneurial freedom. Genomic innovation gives rise to new strategies and to organizational innovations, pointing to the need for regulatory innovation.",['sdv']
Long-Term Care Insurance : Information Frictions and Selection,"This paper conducts a stated-choice experiment where respondents are asked to rate various insurance products aimed to protect against nancial risks associated with long-term care needs. Using exogenous variation in prices from the survey design and individual cost estimates, these stated-choice probabilities are used to predict market equilibrium for long-term care insurance. Our results are twofold. First, information frictions are pervasive. Second, measuring the welfare losses associated with frictions in a framework that also allows for selection, it is found that information frictions reduce equilibrium take-up and lead to large welfare losses while selection plays little role.",['shs']
INRIA's project-team Cortex : Computational Neuroscience,"Our global activities concern (i) information analysis and interpretation and (ii) the design of numerical distributed and adaptive algorithms in interaction with biology and medical science. To better understand cortical signals, we use: - a top-down approach: data analysis techniques extract properties of underlying neural activity. - a bottom-up approach: a mathematical neural modelling aims for the understanding of experimental results. The following activities are linked to Brain-Computer Interface challenges.","['info', 'sdv']"
